Time (s),Mass (kg),,Pull force (kg)
3.939725876,0.0013,,63.82615
3.952051163,0.0107,,63.81675
3.964415789,0.0074,,63.82005
3.976804972,0.0195,,63.80795
3.98883009,0.0186,,63.80885
4.001317978,0.0057,,63.82175
4.013530016,0.0239,,63.80355
4.025830984,0.0218,,63.80565
4.038092852,0.0125,,63.81495
4.050388813,0.0062,,63.82125
4.063163042,0.0166,,63.81085
4.075011969,0.0135,,63.81395
4.091172934,0.0014,,63.82605
4.103815079,0.0117,,63.81575
4.115778923,0.0322,,63.79525
4.128108025,0.0183,,63.80915
4.140516043,0.0043,,63.82315
4.152788877,0.0182,,63.80925
4.164978027,0.0246,,63.80285
4.177318096,0.0089,,63.81855
4.189552069,0.01,,63.81745
4.202047825,0.0119,,63.81555
4.214713097,0.0312,,63.79625
4.226899862,0.032,,63.79545
4.238754988,0.0203,,63.80715
4.251054049,0.0024,,63.82505
4.263774157,0.1524,,63.67505
4.276369095,2.0285,,61.79895
4.287971973,6.6342,,57.19325
4.300302029,13.374,,50.45345
4.312606096,19.2882,,44.53925
4.329227924,22.5241,,41.30335
4.341073036,24.1242,,39.70325
4.353519917,25.5497,,38.27775
4.365723133,27.4337,,36.39375
4.377918005,29.9913,,33.83615
4.390258074,37.2937,,26.53375
4.402651072,42.0516,,21.77585
4.415014982,46.6859,,17.14155
4.427240133,50.3275,,13.49995
4.443444967,52.9849,,10.84255
4.455765963,55.1709,,8.65655
4.468399048,57.1489,,6.67855
4.480355024,58.9558,,4.87165
4.492609024,60.6235,,3.20395
4.504982948,62.0075,,1.81995
4.517338037,63.0961,,0.73135
4.529568911,63.747,,0.08045
4.541847944,64.0665,,-0.23905
4.558087111,63.531,,0.29645
4.570474863,63.0772,,0.75025
4.582866192,62.8277,,0.99975
4.595005035,62.6571,,1.17035
4.607436895,62.4958,,1.33165
4.619683027,62.052,,1.77545
4.631976843,61.2875,,2.53995
4.644165993,60.2588,,3.56865
4.656575918,59.2455,,4.58195
4.672766209,58.7428,,5.08465
4.685091019,58.7657,,5.06175
4.697422028,58.8968,,4.93065
4.709661007,58.8927,,4.93475
4.722035885,58.6855,,5.14195
4.734701872,58.7417,,5.08575
4.746551991,59.2922,,4.53525
4.759751081,60.2167,,3.61075
4.771304131,61.5433,,2.28415
4.787464142,62.8512,,0.97625
4.799757004,63.745,,0.08245
4.812037945,64.03,,-0.20255
4.824491024,63.9237,,-0.09625
4.836715937,63.8621,,-0.03465
4.849075794,64.3284,,-0.50095
4.861278057,65.028,,-1.20055
4.873630047,65.3175,,-1.49005
4.885921001,65.6642,,-1.83675
4.898149014,65.8962,,-2.06875
4.91449213,65.9782,,-2.15075
4.926762819,67.4107,,-3.58325
4.939100027,69.4611,,-5.63365
4.951398134,70.59,,-6.76255
4.96367979,70.5041,,-6.67665
4.975930929,69.3753,,-5.54785
4.988322973,67.1134,,-3.28595
5.000960827,64.5078,,-0.68035
5.013027906,62.4373,,1.39015
5.029130936,61.1478,,2.67965
5.041470766,60.899,,2.92845
5.053745985,61.5732,,2.25425
5.066093922,62.9967,,0.83075
5.078315973,65.4404,,-1.61295
5.090685129,67.1799,,-3.35245
5.103121996,66.9667,,-3.13925
5.115435839,65.7288,,-1.90135
5.127620935,63.9166,,-0.08915
5.143898964,61.9715,,1.85595
5.156396866,60.3306,,3.49685
5.168842793,59.0962,,4.73125
5.180685997,58.5313,,5.29615
5.193022966,59.7451,,4.08235
5.205417871,62.3165,,1.51095
5.217735052,64.4174,,-0.58995
5.229982138,66.9406,,-3.11315
5.242220879,71.616,,-7.78855
5.258505106,73.5094,,-9.68195
5.270967007,74.3476,,-10.52015
5.283155203,74.0665,,-10.23905
5.29540801,72.8171,,-8.98965
5.307812929,70.3446,,-6.51715
5.320312977,68.2153,,-4.38785
5.332286119,66.9613,,-3.13385
5.344696045,66.668,,-2.84055
5.357065916,66.9519,,-3.12445
5.373157024,67.2204,,-3.39295
5.385483027,67.2216,,-3.39415
5.397752047,66.8497,,-3.02225
5.411260128,66.3106,,-2.48315
5.422633886,66.4774,,-2.64995
5.43482995,66.5698,,-2.74235
5.446979046,66.408,,-2.58055
5.459345102,66.2593,,-2.43185
5.471750021,65.3174,,-1.48995
5.487910032,64.084,,-0.25655
5.500144958,62.8909,,0.93655
5.512475014,61.6906,,2.13685
5.524823904,61.0756,,2.75185
5.537105083,61.3401,,2.48735
5.549437046,62.7527,,1.07475
5.562325001,64.7415,,-0.91405
5.574419975,68.1057,,-4.27825
5.586296082,69.0652,,-5.23775
5.598787069,69.1333,,-5.30585
5.614841938,68.9355,,-5.10805
5.627221823,68.551,,-4.72355
5.63946414,67.4975,,-3.67005
5.652292967,65.988,,-2.16055
5.664147854,64.3386,,-0.51115
5.676321983,62.5334,,1.29405
5.688663006,60.6098,,3.21765
5.70107007,59.0767,,4.75075
5.713454008,58.2095,,5.61795
5.729490995,58.2725,,5.55495
5.74193716,59.3459,,4.48155
5.754186869,65.2725,,-1.44505
5.766545057,69.6823,,-5.85485
5.778698921,73.6681,,-9.84065
5.790985823,75.5685,,-11.74105
5.803755999,75.1108,,-11.28335
5.815581083,72.8479,,-9.02045
5.827893972,69.9259,,-6.09845
5.844211817,67.4483,,-3.62085
5.856542826,65.5547,,-1.72725
5.868865967,64.2524,,-0.42495
5.881062031,63.7841,,0.04335
5.893367052,64.0634,,-0.23595
5.905768871,64.9184,,-1.09095
5.918599129,66.4497,,-2.62225
5.93027401,66.843,,-3.01555
5.942862988,67.0314,,-3.20395
5.958845139,66.9357,,-3.10825
5.97131896,66.588,,-2.76055
5.983536005,66.0297,,-2.20225
5.995855093,65.4119,,-1.58445
6.008662939,64.9425,,-1.11505
6.020493984,64.5496,,-0.72215
6.032644033,64.3323,,-0.50485
6.044919968,64.4996,,-0.67215
6.057351112,65.02,,-1.19255
6.073553085,65.7728,,-1.94535
6.085880041,66.4626,,-2.63515
6.09812808,66.4778,,-2.65035
6.110493183,65.8252,,-1.99775
6.122803211,65.2053,,-1.37785
6.135531902,64.5778,,-0.75035
6.147518158,63.9641,,-0.13665
6.159812927,63.408,,0.41945
6.172188044,63.024,,0.80345
6.188275099,63.0416,,0.78585
6.200563192,63.4242,,0.40325
6.212828159,63.8258,,0.00165
6.22569108,64.017,,-0.18955
6.237470865,63.8875,,-0.06005
6.249753952,63.4566,,0.37085
6.262157917,62.449,,1.37845
6.274513006,62.5297,,1.29775
6.28669405,62.9197,,0.90775
6.298941135,63.4465,,0.38095
6.315297842,63.9273,,-0.09985
6.327530861,64.3433,,-0.51585
6.339841843,64.5104,,-0.68295
6.352132082,64.387,,-0.55955
6.364495039,64.5912,,-0.76375
6.376732111,65.492,,-1.66455
6.38914299,66.8011,,-2.97365
6.401524782,68.0596,,-4.23215
6.413684845,69.149,,-5.32155
6.429900885,70.0994,,-6.27195
6.442196846,69.5066,,-5.67915
6.454538822,68.7157,,-4.88825
6.466984749,68.2075,,-4.38005
6.479120016,67.9308,,-4.10335
6.491451025,67.9251,,-4.09765
6.503859043,68.1829,,-4.35545
6.516021967,68.3225,,-4.49505
6.528551102,68.2028,,-4.37535
6.544542789,67.9914,,-4.16395
6.556883097,67.7204,,-3.89295
6.56929183,67.4619,,-3.63445
6.581475019,67.3205,,-3.49305
6.593879938,67.3402,,-3.51275
6.606262922,67.3686,,-3.54115
6.619087934,67.0609,,-3.23345
6.63064909,66.7566,,-2.92915
6.643059015,66.8022,,-2.97475
6.659234047,67.0992,,-3.27175
6.671635866,67.3777,,-3.55025
6.683882952,67.5356,,-3.70815
6.696135044,67.4276,,-3.60015
6.70856905,67.0255,,-3.19805
6.720846891,66.6684,,-2.84095
6.733017921,66.7341,,-2.90665
6.745829105,67.2234,,-3.39595
6.758071899,67.8311,,-4.00365
6.774190903,68.6256,,-4.79815
6.786387205,68.9254,,-5.09795
6.798527956,69.2556,,-5.42815
6.810893059,69.3089,,-5.48145
6.823208094,69.0221,,-5.19465
6.835437059,68.7649,,-4.93745
6.847792149,68.6139,,-4.78645
6.860573053,68.3421,,-4.51465
6.872647047,68.1571,,-4.32965
6.88862896,67.9921,,-4.16465
6.900915146,67.7522,,-3.92475
6.913233995,67.5508,,-3.72335
6.925632954,67.4844,,-3.65695
6.938499928,67.4392,,-3.61175
6.950285912,67.392,,-3.56455
6.962529898,67.1211,,-3.29365
6.974805832,66.7761,,-2.94865
6.98732686,66.5936,,-2.76615
6.999446869,66.6536,,-2.82615
7.015603065,66.6924,,-2.86495
7.027946949,66.6358,,-2.80835
7.040711164,66.4947,,-2.66725
7.052655935,66.3556,,-2.52815
7.064795971,66.2728,,-2.44535
7.077172995,66.2493,,-2.42185
7.08947897,66.212,,-2.38455
7.102805853,66.0915,,-2.26405
7.114171028,65.7326,,-1.90515
7.130274057,65.5577,,-1.73025
7.14262104,65.5829,,-1.75545
7.155174971,65.6696,,-1.84215
7.167267084,65.742,,-1.91455
7.179617882,65.821,,-1.99355
7.191822052,65.7763,,-1.94885
7.204246998,65.7001,,-1.87265
