Time (s),Mass (kg),Average weight,Pull force (kg)
3.944299936,0.0147,,80.1053
3.956527948,0.0064,,80.1136
3.96962285,0.0086,,80.1114
3.981278896,0.0115,,80.1085
3.993399858,0.0213,,80.0987
4.005976915,0.0069,,80.1131
4.020386934,0.0025,,80.1175
4.031677961,0.0074,,80.1126
4.043355703,0.0051,,80.1149
4.055175781,0.0201,,80.0999
4.067585945,0.0294,,80.0906
4.080768824,0.0261,,80.0939
4.091736078,0.0075,,80.1125
4.104511976,0.0018,,80.1182
4.116245985,0.0115,,80.1085
4.138787031,0.0065,,80.1135
4.144785881,0.0119,,80.1081
4.157074928,0.001,,80.119
4.170267105,0.0088,,80.1112
4.184410095,0.0059,,80.1141
4.194262981,0.0158,,80.1042
4.206810951,0.0035,,80.1165
4.21940589,0.0013,,80.1187
4.230892897,0.0002,,80.1198
4.243320942,0.006,,80.114
4.258973837,0.0061,,80.1139
4.271164894,0.0021,,80.1179
4.280184984,0.0093,,80.1107
4.292283058,0.0178,,80.1022
4.304722786,0.0219,,80.0981
4.316987038,0.007,,80.113
4.329536915,0.0042,,80.1158
4.344033957,0.0041,,80.1159
4.354045868,0.0034,,80.1166
4.366342783,0.0024,,80.1176
4.378750801,0.003,,80.117
4.391955853,0.0041,,80.1159
4.407147884,0.0081,,80.1119
4.421121836,0.0015,,80.1185
4.431861877,0.0181,,80.1019
4.443828821,0.0184,,80.1016
4.456176043,0.005,,80.115
4.468923807,0.0161,,80.1039
4.481014967,0.0001,,80.1199
4.493088007,0.0083,,80.1117
4.506388903,0.0185,,80.1015
4.531232834,0.0109,,80.1091
4.533391953,0.0182,,80.1018
4.542250872,0.0092,,80.1108
4.554876804,0.0146,,80.1054
4.568743944,0.011,,80.109
4.57968092,0.0027,,80.1173
4.591463804,0.0057,,80.1143
4.603706121,0.0078,,80.1122
4.61597991,0.0051,,80.1149
4.628450871,0.0089,,80.1111
4.640794992,0.02,,80.1
4.653337955,0.0098,,80.1102
4.667053938,0.01,,80.11
4.681776047,0.0235,,80.0965
4.69362402,0.0296,,80.0904
4.706045866,0.0125,,80.1075
4.718255997,0.0008,,80.1192
4.730598927,0.0036,,80.1164
4.742822886,0.0047,,80.1153
4.755409002,0.0097,,80.1103
4.786145926,0.0117,,80.1083
4.791814804,0.005,,80.115
4.792865992,0.0126,,80.1074
4.807478905,0.0079,,80.1121
4.819317818,0.016,,80.104
4.829626083,0.0131,,80.1069
4.841681004,0.0006,,80.1194
4.853821754,0.0231,,80.0969
4.866539955,0.0215,,80.0985
4.878735065,0.0065,,80.1135
4.890710831,0.0112,,80.1088
4.903817892,0.0123,,80.1077
4.916228056,0.0078,,80.1122
4.927465916,0.0125,,80.1075
4.939798832,0.0038,,80.1162
