Time (s),Mass (kg),Average weight,Pull force (kg)
29.69855881,67.598,,12.522
29.71089888,67.368,,12.752
29.7233479,67.2656,,12.8544
29.73541808,67.1895,,12.9305
29.74845481,67.1213,,12.9987
29.76401496,67.0356,,13.0844
29.77644587,67.0004,,13.1196
29.78917599,67.018,,13.102
29.8010087,67.0549,,13.0651
29.81340575,67.0316,,13.0884
29.82599282,66.9656,,13.1544
29.84355879,66.8521,,13.2679
29.8546319,66.69,,13.43
29.86658502,66.5186,,13.6014
29.87877607,66.367,,13.753
29.89106703,66.3492,,13.7708
29.9033668,66.4406,,13.6794
29.91968298,66.6163,,13.5037
29.93199897,67.0565,,13.0635
29.94488192,67.3971,,12.7229
29.95660305,67.8049,,12.3151
29.969028,68.3108,,11.8092
29.98131609,68.9175,,11.2025
29.99754477,69.5375,,10.5825
30.00988388,70.0443,,10.0757
30.02223897,70.3644,,9.7556
30.03439999,70.6129,,9.5071
30.04669094,70.9376,,9.1824
30.05901313,72.0317,,8.0883
30.075387,72.6947,,7.4253
30.08762789,73.3214,,6.7986
30.09999514,73.87,,6.25
30.11230397,74.3779,,5.7421
30.12549591,74.8978,,5.2222
30.14080095,75.4428,,4.6772
30.15320992,75.9938,,4.1262
30.16544509,76.4515,,3.6685
30.17797089,76.8356,,3.2844
30.19221592,77.2089,,2.9111
30.20353794,78.6031,,1.5169
30.2217021,79.6308,,0.4892
30.23097801,80.6664,,-0.5464
30.24703789,81.5544,,-1.4344
30.26026011,82.1814,,-2.0614
30.27656603,82.6037,,-2.4837
30.28038812,82.8755,,-2.7555
30.29686284,83.0937,,-2.9737
30.30946779,83.3029,,-3.1829
30.32105899,83.4611,,-3.3411
30.33347082,83.4068,,-3.2868
30.34571099,83.2537,,-3.1337
30.35830903,83.0604,,-2.9404
30.37455678,82.7591,,-2.6391
30.3866291,82.3084,,-2.1884
30.3989718,81.781,,-1.661
30.41127491,81.1415,,-1.0215
30.42360997,80.5741,,-0.4541
30.43594599,80.2934,,-0.1734
30.4521389,80.2565,,-0.1365
30.46909094,80.8714,,-0.7514
30.47797894,81.4202,,-1.3002
30.48911786,81.8765,,-1.7565
30.50139093,82.1598,,-2.0398
30.5177269,82.265,,-2.145
30.52995992,82.2106,,-2.0906
30.542274,82.1275,,-2.0075
30.5546279,81.9022,,-1.7822
30.56692815,81.5083,,-1.3883
30.57924199,81.0357,,-0.9157
30.59544683,80.5837,,-0.4637
30.60780382,80.6752,,-0.5552
30.62008691,80.6789,,-0.5589
30.63242006,80.5164,,-0.3964
30.64469504,80.212,,-0.092
30.65699077,80.019,,0.101
30.67336893,80.2871,,-0.1671
30.685606,81.0797,,-0.9597
30.69801998,82.197,,-2.077
30.71363282,83.4049,,-3.2849
30.72622681,84.4621,,-4.3421
30.73681092,85.6554,,-5.5354
30.75335693,85.6315,,-5.5115
30.76497889,85.1249,,-5.0049
30.78611398,84.2531,,-4.1331
30.79458094,83.1692,,-3.0492
30.80069709,82.3073,,-2.1873
30.81317973,82.1223,,-2.0023
30.82930183,82.6626,,-2.5426
30.84286475,83.6777,,-3.5577
30.85380697,84.7241,,-4.6041
30.86589789,85.1706,,-5.0506
30.87825489,84.2111,,-4.0911
30.89447093,82.4943,,-2.3743
30.90692401,80.3341,,-0.2141
30.91904783,78.1363,,1.9837
30.9313767,76.157,,3.963
30.94389987,74.5956,,5.5244
30.95905995,73.6277,,6.4923
30.97467589,73.1991,,6.9209
30.984761,73.1301,,6.9899
30.99697995,73.4089,,6.7111
31.01009083,73.6783,,6.4417
31.02157402,74.1349,,5.9851
31.03391409,74.6267,,5.4933
31.05010605,74.9547,,5.1653
31.06244087,75.0997,,5.0203
31.0748148,75.1199,,5.0001
31.08729386,75.1842,,4.9358
31.09932494,75.3348,,4.7852
31.11164379,75.5311,,4.5889
31.1285491,75.737,,4.383
31.14045405,76.2377,,3.8823
31.15253973,76.59,,3.53
31.16484499,76.9854,,3.1346
31.17730975,77.2562,,2.8638
31.18978977,77.2831,,2.8369
31.20580792,77.0706,,3.0494
31.21805477,76.6713,,3.4487
31.23047495,76.2318,,3.8882
31.24274993,75.9023,,4.2177
31.2552371,75.7223,,4.3977
31.27129006,75.6454,,4.4746
31.28357506,75.5912,,4.5288
31.29589796,75.4687,,4.6513
31.30851507,75.4409,,4.6791
31.38713002,75.4369,,4.6831
31.38848877,75.3921,,4.7279
31.3923471,75.2526,,4.8674
31.39332485,75.0053,,5.1147
31.39429975,74.7031,,5.4169
31.39548206,74.4803,,5.6397
31.41886878,74.2991,,5.8209
31.42049885,74.316,,5.804
31.45213103,74.379,,5.741
31.45320392,74.4735,,5.6465
31.45448399,74.5508,,5.5692
31.4639957,74.5634,,5.5566
31.476367,74.6045,,5.5155
31.48844481,74.6924,,5.4276
31.50485706,74.6507,,5.4693
31.51707101,74.4693,,5.6507
31.52938485,74.2142,,5.9058
31.54316688,73.646,,6.474
31.55408692,73.4826,,6.6374
31.56911588,73.3535,,6.7665
31.58264995,73.2856,,6.8344
31.59864068,73.2525,,6.8675
31.60921097,73.1852,,6.9348
31.620471,73.0715,,7.0485
31.63208103,72.9323,,7.1877
31.64809394,72.714,,7.406
31.66037798,72.3743,,7.7457
31.673105,71.5727,,8.5473
31.68507695,71.317,,8.803
31.69738698,71.2099,,8.9101
31.70965075,71.271,,8.849
31.72668314,71.4677,,8.6523
31.73821592,71.6981,,8.4219
31.75063014,71.8905,,8.2295
31.76318574,71.9535,,8.1665
31.77514577,71.8715,,8.2485
31.78745103,71.6999,,8.4201
31.80467987,71.2044,,8.9156
31.8171618,71.0361,,9.0839
31.82853985,70.9405,,9.1795
31.84082079,70.8875,,9.2325
31.8530848,70.8721,,9.2479
31.86526299,70.9266,,9.1934
31.88157415,71.0075,,9.1125
31.89392185,71.1264,,8.9936
31.90624189,71.217,,8.903
31.91856098,71.2213,,8.8987
31.93085694,71.1262,,8.9938
31.94320893,70.8753,,9.2447
31.95942283,70.7861,,9.3339
31.97190809,70.7759,,9.3441
31.98398471,70.8194,,9.3006
31.9962728,70.9239,,9.1961
32.00867796,71.0718,,9.0482
32.02490377,71.2344,,8.8856
32.03726292,71.3578,,8.7622
32.04952598,71.468,,8.652
32.06353998,71.5082,,8.6118
32.07570887,71.4401,,8.6799
32.0865767,71.4514,,8.6686
32.10274696,71.5105,,8.6095
32.11507893,71.6037,,8.5163
32.12748194,71.7574,,8.3626
32.139781,71.8811,,8.2389
32.15209484,71.9805,,8.1395
32.16423178,72.0279,,8.0921
32.18054605,72.0723,,8.0477
32.19287586,72.084,,8.036
32.2052269,72.0762,,8.0438
32.21752,72.1732,,7.9468
32.22977304,72.3283,,7.7917
32.24218488,72.4785,,7.6415
32.25869584,72.5781,,7.5419
32.27069306,72.6541,,7.4659
32.28298998,72.6729,,7.4471
32.29559016,72.7039,,7.4161
32.3077507,72.7879,,7.3321
32.32516289,72.9491,,7.1709
32.3377068,73.3538,,6.7662
32.34869194,73.5669,,6.5531
32.36097503,73.7285,,6.3915
32.37352395,73.7977,,6.3223
32.38641286,73.8435,,6.2765
32.40170383,73.9198,,6.2002
32.41407776,74.0357,,6.0843
32.42638993,74.1946,,5.9254
32.43860793,74.4021,,5.7179
32.45211196,74.5838,,5.5362
32.46418405,74.7792,,5.3408
32.48088002,75.251,,4.869
32.49228096,75.4811,,4.6389
32.50419974,75.694,,4.426
32.51649594,75.8857,,4.2343
32.53197885,76.1273,,3.9927
32.54111099,76.3877,,3.7323
32.55741787,76.6743,,3.4457
32.5696559,76.9547,,3.1653
32.58210087,77.2148,,2.9052
32.59434485,77.4757,,2.6443
32.60670686,78.1902,,1.9298
32.61956382,78.589,,1.531
32.63519788,78.9797,,1.1403
32.64753389,79.3658,,0.7542
32.65988708,79.7776,,0.3424
32.67210293,80.1894,,-0.0694
32.68452096,80.5745,,-0.4545
32.70411682,80.9567,,-0.8367
32.71304584,81.3544,,-1.2344
32.72788286,81.8256,,-1.7056
32.73797297,82.7248,,-2.6048
32.75370884,82.9387,,-2.8187
32.7623589,82.9366,,-2.8166
32.77854395,82.8252,,-2.7052
32.79091883,82.7352,,-2.6152
32.80325794,82.8813,,-2.7613
32.8166368,83.2315,,-3.1115
32.82925415,83.6467,,-3.5267
32.84655571,84.0744,,-3.9544
32.86002183,84.4636,,-4.3436
32.87485695,84.8025,,-4.6825
32.88290095,85.3294,,-5.2094
32.89342594,85.3375,,-5.2175
32.90560102,85.0075,,-4.8875
32.91796184,84.416,,-4.296
32.93424892,83.6352,,-3.5152
32.94655204,82.8451,,-2.7251
32.96105099,82.2651,,-2.1451
32.97116494,81.9687,,-1.8487
32.98356986,81.8799,,-1.7599
32.99588299,82.0207,,-1.9007
33.01220608,82.2956,,-2.1756
33.0243361,82.0796,,-1.9596
33.03661489,81.5387,,-1.4187
33.04889488,80.8565,,-0.7365
33.06176686,80.1243,,-0.0043
33.07807899,79.5,,0.62
33.0899539,79.171,,0.949
33.10213089,79.1567,,0.9633
33.11440897,79.3695,,0.7505
33.12680602,79.6789,,0.4411
33.13901782,80.0955,,0.0245
33.15537596,80.147,,-0.027
33.16768503,80.0672,,0.0528
33.17993593,79.9844,,0.1356
33.19351602,80.089,,0.031
33.20464683,80.509,,-0.389
33.21702909,81.1867,,-1.0667
33.23318291,81.9884,,-1.8684
33.24547505,82.5631,,-2.4431
33.25778198,82.6277,,-2.5077
33.270118,81.9639,,-1.8439
33.28239775,79.0881,,1.0319
33.29506612,77.8046,,2.3154
33.31099582,77.0785,,3.0415
33.32680011,77.0586,,3.0614
33.33860397,77.6788,,2.4412
33.34813094,78.6661,,1.4539
33.36067891,79.6522,,0.4678
33.3730309,80.4371,,-0.3171
33.38882613,80.9699,,-0.8499
33.40114594,81.0733,,-0.9533
33.41395283,79.6492,,0.4708
33.42587304,78.3483,,1.7717
33.43811989,76.9618,,3.1582
33.45590901,75.6644,,4.4556
33.46683311,74.4913,,5.6287
33.47897387,73.4314,,6.6886
33.49267817,72.4994,,7.6206
33.50362587,71.6694,,8.4506
33.51594687,71.0083,,9.1117
33.53443384,70.6992,,9.4208
33.54451084,70.8107,,9.3093
33.55685401,71.0286,,9.0914
33.56904173,71.2702,,8.8498
33.58136582,71.4799,,8.6401
33.59380078,71.6352,,8.4848
33.60996079,71.7357,,8.3843
33.62231183,71.7816,,8.3384
33.63519192,71.7519,,8.3681
33.64694905,71.6414,,8.4786
33.65982795,71.4829,,8.6371
33.6732111,71.2732,,8.8468
33.68783188,70.6031,,9.5169
33.70015788,70.283,,9.837
33.71247792,69.9466,,10.1734
33.72501278,69.5991,,10.5209
33.737077,69.2632,,10.8568
33.74938703,68.9478,,11.1722
33.76562715,68.634,,11.486
33.77799582,68.2807,,11.8393
33.79026389,67.8205,,12.2995
33.80261898,67.2313,,12.8887
33.8148458,66.2623,,13.8577
33.83113289,65.8819,,14.2381
33.84342599,65.701,,14.419
33.85572982,65.6592,,14.4608
33.8681488,65.6994,,14.4206
33.88046575,65.8352,,14.2848
33.89276195,65.8866,,14.2334
33.90959692,65.8005,,14.3195
33.92130399,65.5699,,14.5501
33.93357778,65.2605,,14.8595
33.945858,64.7185,,15.4015
33.95852995,64.5985,,15.5215
33.9706099,64.642,,15.478
33.98678088,64.8441,,15.2759
33.99910283,65.2123,,14.9077
34.011446,65.7004,,14.4196
34.02391696,66.2039,,13.9161
34.03628373,66.6604,,13.4596
34.04836488,67.066,,13.054
34.06581402,67.381,,12.739
34.07692695,67.5904,,12.5296
34.0896318,67.7914,,12.3286
34.10161781,67.818,,12.302
34.11395502,67.7647,,12.3553
34.12659097,67.6759,,12.4441
34.14255095,67.495,,12.625
34.15477991,67.2618,,12.8582
34.16703796,67.0337,,13.0863
34.1804359,66.8121,,13.3079
34.19185877,66.6379,,13.4821
34.21203589,66.5805,,13.5395
34.22031307,66.7849,,13.3351
34.23314977,66.9756,,13.1444
34.24490905,67.2075,,12.9125
34.25724196,67.4082,,12.7118
34.26974797,67.5597,,12.5603
34.28576684,67.6332,,12.4868
34.298069,67.5948,,12.5252
34.31044888,67.4207,,12.6993
34.32270098,67.1837,,12.9363
34.33557606,66.9148,,13.2052
34.347435,66.7084,,13.4116
34.36361289,66.7086,,13.4114
34.37644577,66.7805,,13.3395
34.38825178,66.8892,,13.2308
34.4005959,67.0057,,13.1143
34.41279578,67.1651,,12.9549
34.42530894,67.313,,12.807
34.44168687,67.4541,,12.6659
34.45443606,67.6138,,12.5062
34.46611404,67.7282,,12.3918
34.47855496,67.7849,,12.3351
34.490731,67.8796,,12.2404
34.5029459,68.1028,,12.0172
34.51934481,68.4958,,11.6242
34.53155994,69.0084,,11.1116
34.54392004,69.5151,,10.6049
34.55623794,69.951,,10.169
34.5685029,70.3776,,9.7424
34.58476686,70.8031,,9.3169
34.59707093,71.237,,8.883
34.60941792,71.7181,,8.4019
34.62175393,72.9824,,7.1376
34.6339829,73.5231,,6.5969
34.646415,73.9007,,6.2193
34.66260195,74.186,,5.934
34.67493486,74.4608,,5.6592
34.68741298,74.786,,5.334
34.69958186,75.295,,4.825
34.71191287,75.9935,,4.1265
34.72731495,76.8193,,3.3007
34.74121904,77.7,,2.42
34.75391674,79.6806,,0.4394
34.76504803,80.6624,,-0.5424
34.77740788,81.4656,,-1.3456
34.78975201,81.9492,,-1.8292
34.8019309,82.139,,-2.019
34.81821203,82.1527,,-2.0327
34.83098197,82.1715,,-2.0515
34.84468079,82.3076,,-2.1876
34.8553431,82.4465,,-2.3265
34.86792684,82.5646,,-2.4446
34.8806479,82.8272,,-2.7072
34.89682198,82.7937,,-2.6737
34.90962601,82.4925,,-2.3725
34.92199707,82,,-1.88
34.93701077,81.4304,,-1.3104
34.94581485,80.877,,-0.757
34.9621439,80.5493,,-0.4293
34.97408104,80.6006,,-0.4806
34.98898602,81.0378,,-0.9178
35.00077415,81.5932,,-1.4732
35.01426506,82.1399,,-2.0199
35.02600098,83.273,,-3.153
35.03940606,83.8855,,-3.7655
35.05173707,84.3279,,-4.2079
35.06429982,84.4295,,-4.3095
35.07673693,84.1085,,-3.9885
35.08893681,83.2764,,-3.1564
35.10256982,82.0549,,-1.9349
35.11760092,80.6182,,-0.4982
35.12991095,79.221,,0.899
35.1479919,78.1827,,1.9373
35.15561104,78.4341,,1.6859
35.16654301,79.696,,0.424
35.18114781,81.1869,,-1.0669
35.19892192,82.3348,,-2.2148
35.2076118,82.9033,,-2.7833
35.21978903,82.9261,,-2.8061
35.23204303,82.6066,,-2.4866
35.24458599,82.1667,,-2.0467
35.25714874,81.7594,,-1.6394
35.2732439,81.5735,,-1.4535
35.28531981,82.4307,,-2.3107
35.29766798,83.1674,,-3.0474
35.30990887,83.7515,,-3.6315
35.32218289,83.952,,-3.832
35.34411192,83.7845,,-3.6645
35.36307883,83.3698,,-3.2498
35.36551595,82.8997,,-2.7797
35.38194084,82.5371,,-2.4171
35.38857698,82.3376,,-2.2176
35.40553188,82.2033,,-2.0833
35.41637588,82.0211,,-1.9011
35.43138194,80.8595,,-0.7395
35.44094586,79.8025,,0.3175
35.45746779,78.4974,,1.6226
35.4656229,77.1073,,3.0127
35.48181391,75.9266,,4.1934
35.49411702,75.1747,,4.9453
35.50641203,74.7482,,5.3718
35.51984406,74.4548,,5.6652
35.53103089,74.258,,5.862
35.54352498,74.099,,6.021
35.55557084,74.0314,,6.0886
35.57195282,74.109,,6.011
35.58678389,74.1688,,5.9512
35.5966928,74.1721,,5.9479
35.61567092,74.0636,,6.0564
35.6216948,73.9641,,6.1559
35.6335988,73.9532,,6.1668
35.64976692,74.1036,,6.0164
35.66282487,74.3936,,5.7264
35.67814803,74.6584,,5.4616
35.69605088,74.77,,5.35
35.69916201,74.752,,5.368
35.72047997,74.7454,,5.3746
35.72772813,74.8475,,5.2725
35.74580193,74.9531,,5.1669
35.75241375,75.0078,,5.1122
35.76712799,75.0613,,5.0587
35.77977681,75.1461,,4.9739
35.79415178,75.2585,,4.8615
35.80864501,75.3802,,4.7398
35.81779981,75.531,,4.589
35.83368587,75.8642,,4.2558
35.84545398,75.8745,,4.2455
35.86312294,75.6955,,4.4245
35.87100005,75.3869,,4.7331
35.88476586,75.0335,,5.0865
35.89577007,74.6727,,5.4473
35.91453481,74.4012,,5.7188
35.92031503,74.144,,5.976
35.93284988,73.9159,,6.2041
35.94864607,73.7465,,6.3735
35.96123314,73.6999,,6.4201
35.97336602,73.8414,,6.2786
35.98567009,74,,6.12
35.99811816,74.1865,,5.9335
36.01056099,74.3817,,5.7383
36.02884793,74.564,,5.556
36.03899002,74.7007,,5.4193
36.05116296,74.742,,5.378
36.06375003,74.6605,,5.4595
36.07642293,74.458,,5.662
36.09277678,73.9435,,6.1765
36.10468078,73.7293,,6.3907
36.11679196,73.5506,,6.5694
36.1298449,73.3763,,6.7437
36.14260602,73.1996,,6.9204
36.15411401,73.01,,7.11
36.16995597,72.9005,,7.2195
36.18305874,72.9184,,7.2016
36.19640493,72.9884,,7.1316
36.21364594,73.082,,7.038
36.21913171,73.1466,,6.9734
36.23170304,73.1524,,6.9676
36.24772501,73.0737,,7.0463
36.26310802,72.9672,,7.1528
36.27241492,72.8426,,7.2774
36.28671503,72.7063,,7.4137
36.29689693,72.5479,,7.5721
36.30922484,72.3814,,7.7386
36.32549596,72.2635,,7.8565
36.34569097,72.213,,7.907
36.35012889,72.2379,,7.8821
36.36265588,72.506,,7.614
36.37657094,72.7285,,7.3915
36.40439296,72.9279,,7.1921
36.42080688,73.0707,,7.0493
36.42188787,73.0965,,7.0235
36.43813491,73.0394,,7.0806
36.44871092,72.9967,,7.1233
36.4589839,73.0373,,7.0827
36.46885705,73.1266,,6.9934
36.48124576,73.2056,,6.9144
36.49357104,73.3473,,6.7727
36.50581503,73.463,,6.657
36.51814389,73.6139,,6.5061
36.53043509,73.829,,6.291
36.54665589,74.1189,,6.0011
36.55902696,74.425,,5.695
36.57131577,74.669,,5.451
36.5857029,74.8159,,5.3041
36.59785485,74.9503,,5.1697
36.60924697,75.0937,,5.0263
36.62464499,75.8149,,4.3051
36.63702178,76.2235,,3.8965
36.64932179,76.5414,,3.5786
36.6617558,76.7412,,3.3788
36.67390084,76.928,,3.192
36.68613791,77.2436,,2.8764
36.70227599,77.7265,,2.3935
36.71475697,78.3294,,1.7906
36.72740293,78.9496,,1.1704
36.7393961,79.4116,,0.7084
36.75190592,79.71,,0.41
36.76403093,80.2884,,-0.1684
36.78109407,80.6624,,-0.5424
36.7952199,81.1206,,-1.0006
36.80545187,81.5397,,-1.4197
36.81714702,81.8365,,-1.7165
36.83031797,81.9805,,-1.8605
36.84605575,81.9663,,-1.8463
36.86064982,81.8953,,-1.7753
36.87033176,81.8626,,-1.7426
36.88409686,81.926,,-1.806
36.89529181,82.5839,,-2.4639
36.90733099,83.1377,,-3.0177
36.92371082,83.7364,,-3.6164
36.93598199,84.2046,,-4.0846
36.94820499,84.3789,,-4.2589
36.96099281,84.143,,-4.023
36.97498107,83.528,,-3.408
36.9869318,82.6534,,-2.5334
37.00243974,81.7496,,-1.6296
37.01361775,81.0396,,-0.9196
37.02591515,80.6558,,-0.5358
37.03826976,80.801,,-0.681
37.05068493,80.8992,,-0.7792
37.06308794,80.9401,,-0.8201
37.07954597,80.9715,,-0.8515
37.09164882,81.0973,,-0.9773
37.1041379,81.2795,,-1.1595
37.11662793,81.409,,-1.289
37.13773394,81.3401,,-1.2201
37.14074898,80.9942,,-0.8742
37.15722799,80.4366,,-0.3166
37.16929388,79.3576,,0.7624
37.18165183,79.071,,1.049
37.19524813,79.0142,,1.1058
37.20639586,79.0272,,1.0928
37.22255301,79.0139,,1.1061
37.23504782,79.004,,1.116
37.24861574,79.0785,,1.0415
37.26269293,79.2104,,0.9096
37.278934,79.4569,,0.6631
37.28408289,79.797,,0.323
37.30063105,80.4719,,-0.3519
37.31398296,80.7296,,-0.6096
37.32829881,80.8558,,-0.7358
37.33732796,80.7955,,-0.6755
37.35032392,80.5677,,-0.4477
37.36206889,80.3844,,-0.2644
37.37855196,80.4861,,-0.3661
37.39040613,80.8087,,-0.6887
37.40272784,80.9561,,-0.8361
37.41501188,80.8419,,-0.7219
37.4286499,80.299,,-0.179
37.43966484,79.917,,0.203
37.45599198,79.5091,,0.6109
37.46833611,78.9602,,1.1598
37.48265481,78.1986,,1.9214
37.49659204,77.2852,,2.8348
37.5052979,76.3952,,3.7248
37.52250385,75.6117,,4.5083
37.53381705,75.0195,,5.1005
37.546242,74.5626,,5.5574
37.55840778,74.1456,,5.9744
37.57217503,73.312,,6.808
37.58315802,72.9299,,7.1901
37.60009003,72.6449,,7.4751
37.611835,72.4946,,7.6254
37.62393379,72.4552,,7.6648
37.6362319,72.4582,,7.6618
37.64860296,72.4737,,7.6463
37.66080189,72.5258,,7.5942
37.67711878,72.6177,,7.5023
37.68940783,72.738,,7.382
37.70184493,73.065,,7.055
37.7141161,73.1945,,6.9255
37.72951078,73.3004,,6.8196
37.74580979,73.4105,,6.7095
37.76408792,73.5705,,6.5495
37.76731801,73.737,,6.383
37.78842378,73.8019,,6.3181
37.81358576,73.7787,,6.3413
37.81467009,73.6927,,6.4273
37.81675577,73.5746,,6.5454
37.83278394,73.0215,,7.0985
37.84683895,72.5225,,7.5975
37.85753274,71.9482,,8.1718
37.86977601,71.4987,,8.6213
37.88227201,71.4254,,8.6946
37.89562273,71.7477,,8.3723
37.91468692,72.3039,,7.8161
37.9229548,72.8709,,7.2491
37.93528795,73.2008,,6.9192
37.94756794,73.287,,6.833
37.95987296,73.178,,6.942
37.97659111,72.7862,,7.3338
37.98851395,72.5733,,7.5467
38.00142503,72.447,,7.673
38.01417685,72.3708,,7.7492
38.02695012,72.2686,,7.8514
38.03779507,72.1642,,7.9558
38.05470896,72.1635,,7.9565
38.066293,72.284,,7.836
38.08242607,72.4937,,7.6263
38.0909059,72.7077,,7.4123
38.10325503,72.839,,7.281
38.11545992,72.7958,,7.3242
38.13175488,72.7394,,7.3806
38.14403296,72.6654,,7.4546
38.15682888,72.6545,,7.4655
38.16869497,72.6702,,7.4498
38.181072,72.6156,,7.5044
38.19337106,72.4795,,7.6405
38.20960999,72.305,,7.815
38.22494578,72.1566,,7.9634
38.23473096,72.0627,,8.0573
38.24974203,72.1291,,7.9909
38.26352,72.1132,,8.0068
38.28383303,71.8996,,8.2204
38.29032111,71.5111,,8.6089
38.31502795,70.9654,,9.1546
38.31622386,70.3457,,9.7743
38.33100486,69.7724,,10.3476
38.33802891,69.4036,,10.7164
38.3529079,69.2892,,10.8308
38.36523795,69.5758,,10.5442
38.37759781,69.7326,,10.3874
38.38986588,69.738,,10.382
38.40212297,69.6282,,10.4918
38.41451788,69.4282,,10.6918
38.43075991,69.1771,,10.9429
38.4430871,68.9734,,11.1466
38.45534205,68.8877,,11.2323
38.46887016,68.8362,,11.2838
38.48338389,68.7911,,11.3289
38.49253702,68.7499,,11.3701
38.5088408,68.5438,,11.5762
38.52096295,68.4527,,11.6673
38.5378139,68.41,,11.71
38.546139,68.3921,,11.7279
38.56630278,68.3766,,11.7434
38.57171607,68.3561,,11.7639
38.59672904,68.3002,,11.8198
38.59879684,68.2001,,11.9199
38.61114907,68.0689,,12.0511
38.6233449,67.8899,,12.2301
38.63562107,67.4536,,12.6664
38.64812684,67.3466,,12.7734
38.66430402,67.3087,,12.8113
38.67672396,67.4253,,12.6947
38.68895793,67.7037,,12.4163
38.70119691,68.1051,,12.0149
38.71352887,68.5129,,11.6071
38.73491693,68.9044,,11.2156
38.74999285,69.2768,,10.8432
38.76313591,69.6335,,10.4865
38.7669208,70.2376,,9.8824
38.79074192,70.4568,,9.6632
38.79246998,70.655,,9.465
38.80794692,70.8738,,9.2462
38.82505012,71.1899,,8.9301
38.83328891,71.4984,,8.6216
38.84763002,71.75,,8.37
38.85724688,71.9493,,8.1707
38.88477588,72.1292,,7.9908
38.88589787,72.3574,,7.7626
38.92182899,72.72,,7.4
38.92306304,73.9384,,6.1816
38.9254818,74.7402,,5.3798
38.94689608,75.6133,,4.5067
38.9480691,76.4717,,3.6483
38.96322894,77.2197,,2.9003
38.98147392,77.8168,,2.3032
38.987957,78.2216,,1.8984
39.00133586,78.4868,,1.6332
39.01417375,78.6537,,1.4663
39.0261569,78.9682,,1.1518
39.04103899,80.035,,0.085
39.05345607,80.611,,-0.491
39.06570292,81.1969,,-1.0769
39.07800174,81.6879,,-1.5679
39.0902369,82.0731,,-1.9531
39.10773182,82.364,,-2.244
39.11895585,82.6226,,-2.5026
39.13125706,82.816,,-2.696
39.14353085,82.8415,,-2.7215
39.15592694,82.6224,,-2.5024
39.16814089,81.7337,,-1.6137
39.18437386,81.3647,,-1.2447
39.19669604,81.1592,,-1.0392
39.20902181,81.15,,-1.03
39.22161102,81.2949,,-1.1749
39.23407292,81.5378,,-1.4178
39.24600887,81.8265,,-1.7065
39.26219487,81.9974,,-1.8774
39.27453208,82.0326,,-1.9126
39.28686786,81.9897,,-1.8697
39.30004597,81.9103,,-1.7903
39.3115828,81.6514,,-1.5314
39.32379198,81.4954,,-1.3754
39.34018779,81.3095,,-1.1895
39.35232782,81.1061,,-0.9861
39.36565709,80.8085,,-0.6885
39.38135481,80.4827,,-0.3627
39.39675999,80.3124,,-0.1924
39.40556574,80.407,,-0.287
39.41782689,80.7924,,-0.6724
39.43021894,81.4362,,-1.3162
39.44242692,82.7976,,-2.6776
39.45490694,83.1185,,-2.9985
39.46713805,83.2394,,-3.1194
39.48426104,83.2925,,-3.1725
39.49576378,83.3517,,-3.2317
39.50801682,83.4164,,-3.2964
39.52031684,83.3721,,-3.2521
39.53269911,83.2336,,-3.1136
39.54503298,83.069,,-2.949
39.56123686,82.9888,,-2.8688
39.57350183,82.9161,,-2.7961
39.58583379,82.6734,,-2.5534
39.59825087,82.2045,,-2.0845
39.61290693,81.6418,,-1.5218
39.62280798,81.2615,,-1.1415
39.64613485,81.3549,,-1.2349
39.65138078,81.9699,,-1.8499
39.66515708,82.826,,-2.706
39.67941904,83.4941,,-3.3741
39.68968391,83.6333,,-3.5133
39.7040329,82.968,,-2.848
39.71707988,79.7791,,0.3409
39.73347878,78.1172,,2.0028
39.74147892,76.9125,,3.2075
39.75379395,76.075,,4.045
39.7666831,75.421,,4.699
39.782336,74.8359,,5.2841
39.7947278,74.5121,,5.6079
39.80694294,74.5135,,5.6065
39.81948495,74.6905,,5.4295
39.8315618,74.8608,,5.2592
39.84486389,74.8056,,5.3144
39.86427593,74.8292,,5.2908
39.87319994,75.0796,,5.0404
39.88481402,75.5157,,4.6043
39.89709783,75.9021,,4.2179
39.90980506,76.179,,3.941
39.92167497,76.2085,,3.9115
39.93800187,76.1076,,4.0124
39.95140195,76.1848,,3.9352
39.96311688,76.4287,,3.6913
39.97501087,76.7587,,3.3613
39.98728704,76.692,,3.428
39.99949574,76.6141,,3.5059
40.01581097,76.7177,,3.4023
40.0281651,76.8995,,3.2205
40.04050708,77.0012,,3.1188
40.05274105,76.9517,,3.1683
40.06510687,76.7898,,3.3302
40.07743502,76.6438,,3.4762
40.09371305,76.6645,,3.4555
40.1059289,76.8102,,3.3098
40.1182549,76.7536,,3.3664
40.13073182,76.2962,,3.8238
40.14316487,75.8244,,4.2956
40.15916109,75.6461,,4.4739
40.17144799,75.7817,,4.3383
40.18382001,76.0423,,4.0777
40.19649506,76.2495,,3.8705
40.2094388,76.2304,,3.8896
40.22105384,75.9666,,4.1534
40.24534178,75.5405,,4.5795
40.25213313,75.2063,,4.9137
40.26511502,75.5183,,4.6017
40.27545381,76.0248,,4.0952
40.29093385,76.5818,,3.5382
40.29863286,76.973,,3.147
40.31478906,77.0491,,3.0709
40.32775187,76.8136,,3.3064
40.33956075,76.4475,,3.6725
40.35358572,76.0334,,4.0866
40.36474276,75.7077,,4.4123
40.37663794,75.6677,,4.4523
